tcgplayer_id,directLow,market,low,mid
218575 (Foil),6.59,6.51,5.75,8.92
218575 (Nonfoil),6.95,5.16,2.99,7.35
2463 (Nonfoil),,7.19,6.45,8.47
2463 (Foil),,,,
58370 (Nonfoil),3.86,3.32,2.49,4.5
58370 (Foil),,9.78,8.49,11.75
179473 (Nonfoil),31.95,31.85,29.2,36.71
179473 (Foil),42.59,46.46,37.49,43.62
128275 (Nonfoil),32.96,29.7,25.0,39.79
128275 (Foil),44.07,46.4,43.99,48.81
15415 (Nonfoil),16.59,29.63,19.99,28.05
15415 (Foil),,53.16,41.99,56.47
222004 (Nonfoil),16.0,13.65,9.0,16.11
222004 (Foil),17.99,15.77,13.0,24.84
188636 (Foil),8.89,10.0,8.0,9.99
188636 (Nonfoil),2.76,2.62,1.0,3.15
182838 (Nonfoil),14.27,13.59,10.75,14.59
182838 (Foil),,20.35,16.97,19.9
92830 (Nonfoil),22.0,23.04,17.99,25.64
92830 (Foil),34.49,36.59,32.99,37.81
122642 (Nonfoil),2.53,2.83,1.93,4.16
122642 (Foil),11.47,13.03,9.5,13.08
60130 (Nonfoil),,,,
60130 (Foil),19.84,24.63,19.0,25.99
122643 (Nonfoil),2.57,2.81,1.99,4.48
122643 (Foil),9.25,10.5,7.47,9.98
166660 (Foil),22.61,22.57,16.0,24.04
166660 (Nonfoil),11.02,10.44,8.63,11.02
67319 (Nonfoil),18.49,16.11,13.99,19.19
67319 (Foil),,32.95,25.0,31.5
9627 (Nonfoil),,64.14,57.21,66.5
9627 (Foil),,143.37,138.0,140.39
219102 (Foil),5.67,5.41,3.99,5.88
219102 (Nonfoil),3.44,3.49,2.99,4.82
199390 (Nonfoil),1.81,1.66,0.3,2.17
199390 (Foil),,2.01,1.3,2.87
199391 (Nonfoil),6.99,5.75,3.27,6.01
199391 (Foil),17.99,16.35,14.4,17.51
199286 (Nonfoil),0.3,0.29,0.2,0.61
199286 (Foil),0.5,1.17,0.4,1.49
199287 (Nonfoil),4.43,4.35,2.65,4.21
199287 (Foil),,10.45,5.99,10.04
199288 (Nonfoil),2.9,2.65,1.78,3.1
199288 (Foil),3.76,3.97,3.0,4.19
199289 (Nonfoil),9.99,9.88,7.12,9.66
199289 (Foil),,29.99,24.2,32.2
199388 (Foil),4.89,4.75,3.0,4.95
199388 (Nonfoil),2.75,2.6,1.5,3.14
199284 (Nonfoil),0.55,0.57,0.25,0.99
199284 (Foil),2.18,2.21,1.45,2.36
199285 (Foil),25.34,26.52,24.0,29.0
199285 (Nonfoil),7.25,6.75,4.98,7.88
